IAPS_no;Val;;;
9435;Neg;;;
9180;Neg;;;
9331;Neg;;;
9320;Neg;;;
9330;Neg;;;
9342;Neg;;;
6311;Neg;;;
9220;Neg;;;
2141;Neg;;;
2205;Neg;;;
2053;Neg;;;
3181;Neg;;;
2750;Neg;;;
9007;Neg;;;
9611;Neg;;;
3300;Neg;;;
9415;Neg;;;
9432;Neg;;;
9280;Neg;;;
3160;Neg;;;
9000;Neg;;;
9430;Neg;;;
9041;Neg;;;
7359;Neg;;;
9561;Neg;;;
9530;Neg;;;
9340;Neg;;;
9830;Neg;;;
2276;Neg;;;
9265;Neg;;;
2455;Neg;;;
3220;Neg;;;
6831;Neg;;;
9520;Neg;;;
2900.1;Neg;;;
9290;Neg;;;
2216;Pos;;;
2550;Pos;;;
2260;Pos;;;
4626;Pos;;;
2209;Pos;;;
5830;Pos;;;
1750;Pos;;;
2071;Pos;;;
1710;Pos;;;
2341;Pos;;;
2660;Pos;;;
1721;Pos;;;
2395;Pos;;;
1463;Pos;;;
1460;Pos;;;
2150;Pos;;;
5910;Pos;;;
8540;Pos;;;
2040;Pos;;;
8420;Pos;;;
5831;Pos;;;
7502;Pos;;;
2080;Pos;;;
1440;Pos;;;
2345;Pos;;;
2050;Pos;;;
2340;Pos;;;
2091;Pos;;;
2070;Pos;;;
2058;Pos;;;
1920;Pos;;;
1999;Pos;;;
8461;Pos;;;
7330;Pos;;;
2057;Pos;;;
2311;Pos;;;
1935;Neu;;;
2580;Neu;;;
7830;Neu;;;
2487;Neu;;;
7503;Neu;;;
5920;Neu;;;
1313;Neu;;;
3550;Neu;;;
2372;Neu;;;
5455;Neu;;;
1616;Neu;;;
7211;Neu;;;
7080;Neu;;;
5395;Neu;;;
1121;Neu;;;
7004;Neu;;;
7000;Neu;;;
7504;Neu;;;
7550;Neu;;;
2620;Neu;;;
7620;Neu;;;
5510;Neu;;;
5731;Neu;;;
5535;Neu;;;
7640;Neu;;;
2220;Neu;;;
7187;Neu;;;
7090;Neu;;;
5740;Neu;;;
7820;Neu;;;
7233;Neu;;;
2635;Neu;;;
4631;Neu;;;
2575;Neu;;;
7490;Neu;;;
8211;Neu;;;
