IAPS_no;Val
1710;Pos
1750;Pos
1460;Pos
2050;Pos
1440;Pos
2070;Pos
2040;Pos
2080;Pos
2260;Pos
2340;Pos
5830;Pos
2150;Pos
2058;Pos
1920;Pos
2071;Pos
2057;Pos
5910;Pos
2550;Pos
8420;Pos
2660;Pos
7502;Pos
7330;Pos
2091;Pos
2209;Pos
5831;Pos
2053;Neg
2141;Neg
2710;Neg
2750;Neg
2900;Neg
3160;Neg
3220;Neg
3550;Neg
6243;Neg
6311;Neg
6831;Neg
6838;Neg
7380;Neg
9000;Neg
9006;Neg
9007;Neg
9265;Neg
9340;Neg
9400;Neg
9430;Neg
9432;Neg
9500;Neg
9520;Neg
9830;Neg
9920;Neg
