"vpnr" "alter" "sex" "hand" "fach" "sprache" "color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "valenz_response" "valenz_rt" "sichtbar_response" "sichtbar_korrekt" "sichtbar_rt"
"12" "1" 21 1 1 1 1 "LAEHRAMTTG" 2 1 "schese" 0 -1 0 0 13 10 2 4 22 1 3 2 1 738 2 -1 895
"13" "1" 21 1 1 1 1 "LAEHRAMTTG" 2 2 "schese" 0 -1 0 0 13 10 2 4 22 1 3 2 0 1921 2 -1 1040
"14" "1" 21 1 1 1 1 "LAEHRAMTTG" 2 3 "schese" 0 -1 0 0 13 10 2 4 22 1 3 2 0 1145 2 -1 735
"15" "1" 21 1 1 1 1 "LAEHRAMTTG" 2 4 "schese" 0 -1 0 0 13 10 2 4 22 1 3 2 1 809 2 -1 809
"16" "1" 21 1 1 1 1 "LAEHRAMTTG" 3 0 "hiwawa" 0 -1 0 0 8 1 6 17 5 2 3 3 0 897 3 -1 919
"17" "1" 21 1 1 1 1 "LAEHRAMTTG" 3 1 "hiwawa" 0 -1 0 0 8 1 6 17 5 2 3 3 0 728 3 -1 887
"18" "1" 21 1 1 1 1 "LAEHRAMTTG" 3 2 "hiwawa" 0 -1 0 0 8 1 6 17 5 2 3 3 0 2113 3 -1 975
"19" "1" 21 1 1 1 1 "LAEHRAMTTG" 3 3 "hiwawa" 0 -1 0 0 8 1 6 17 5 2 3 3 1 634 3 -1 767
"20" "1" 21 1 1 1 1 "LAEHRAMTTG" 3 4 "hiwawa" 0 -1 0 0 8 1 6 17 5 2 3 3 1 954 3 -1 830
"21" "1" 21 1 1 1 1 "LAEHRAMTTG" 4 0 "kiwehon" 0 -1 0 0 24 7 11 14 0 3 4 5 1 1832 13 -1 607
"22" "1" 21 1 1 1 1 "LAEHRAMTTG" 4 1 "kiwehon" 0 -1 0 0 24 7 11 14 0 3 4 5 1 602 4 -1 1766
"23" "1" 21 1 1 1 1 "LAEHRAMTTG" 4 2 "kiwehon" 0 -1 0 0 24 7 11 14 0 3 4 5 1 1137 4 -1 1913
"24" "1" 21 1 1 1 1 "LAEHRAMTTG" 4 3 "kiwehon" 0 -1 0 0 24 7 11 14 0 3 4 5 1 569 4 -1 977
"25" "1" 21 1 1 1 1 "LAEHRAMTTG" 4 4 "kiwehon" 0 -1 0 0 24 7 11 14 0 3 4 5 0 1008 4 -1 784
"26" "1" 21 1 1 1 1 "LAEHRAMTTG" 5 0 "uwimor" 0 -1 0 0 9 0 23 20 13 3 4 5 1 953 5 -1 671
"27" "1" 21 1 1 1 1 "LAEHRAMTTG" 5 1 "uwimor" 0 -1 0 0 9 0 23 20 13 3 4 5 0 753 5 -1 566
"28" "1" 21 1 1 1 1 "LAEHRAMTTG" 5 2 "uwimor" 0 -1 0 0 9 0 23 20 13 3 4 5 0 642 5 -1 901
"29" "1" 21 1 1 1 1 "LAEHRAMTTG" 5 3 "uwimor" 0 -1 0 0 9 0 23 20 13 3 4 5 0 657 5 -1 559
"30" "1" 21 1 1 1 1 "LAEHRAMTTG" 5 4 "uwimor" 0 -1 0 0 9 0 23 20 13 3 4 5 1 6961 5 -1 526
"31" "1" 21 1 1 1 1 "LAEHRAMTTG" 6 0 "botsy" 0 -1 0 1 6 15 18 3 21 6 3 4 0 697 18 -1 4605
"32" "1" 21 1 1 1 1 "LAEHRAMTTG" 6 1 "botsy" 0 -1 0 1 6 15 18 3 21 6 3 4 0 1152 9 -1 2640
"33" "1" 21 1 1 1 1 "LAEHRAMTTG" 6 2 "botsy" 0 -1 0 1 6 15 18 3 21 6 3 4 0 1048 13 -1 3991
"34" "1" 21 1 1 1 1 "LAEHRAMTTG" 6 3 "botsy" 0 -1 0 1 6 15 18 3 21 6 3 4 0 650 4 -1 2334
"35" "1" 21 1 1 1 1 "LAEHRAMTTG" 6 4 "botsy" 0 -1 0 1 6 15 18 3 21 6 3 4 0 602 0 -1 2752
"36" "1" 21 1 1 1 1 "LAEHRAMTTG" 7 0 "pimuide" 0 -1 0 1 11 1 2 17 22 2 4 5 0 609 7 -1 4057
"37" "1" 21 1 1 1 1 "LAEHRAMTTG" 7 1 "pimuide" 0 -1 0 1 11 1 2 17 22 2 4 5 0 745 3 -1 3263
"38" "1" 21 1 1 1 1 "LAEHRAMTTG" 7 2 "pimuide" 0 -1 0 1 11 1 2 17 22 2 4 5 0 721 2 -1 1632
"39" "1" 21 1 1 1 1 "LAEHRAMTTG" 7 3 "pimuide" 0 -1 0 1 11 1 2 17 22 2 4 5 0 634 20 -1 1254
"40" "1" 21 1 1 1 1 "LAEHRAMTTG" 7 4 "pimuide" 0 -1 0 1 11 1 2 17 22 2 4 5 1 7272 6 -1 2319
"41" "1" 21 1 1 1 1 "LAEHRAMTTG" 8 0 "tewok" 0 -1 0 1 24 12 4 8 14 3 5 6 0 977 20 -1 2535
"42" "1" 21 1 1 1 1 "LAEHRAMTTG" 8 1 "tewok" 0 -1 0 1 24 12 4 8 14 3 5 6 1 977 8 -1 2479
"43" "1" 21 1 1 1 1 "LAEHRAMTTG" 8 2 "tewok" 0 -1 0 1 24 12 4 8 14 3 5 6 0 633 13 -1 2096
"44" "1" 21 1 1 1 1 "LAEHRAMTTG" 8 3 "tewok" 0 -1 0 1 24 12 4 8 14 3 5 6 0 1049 20 -1 935
"45" "1" 21 1 1 1 1 "LAEHRAMTTG" 8 4 "tewok" 0 -1 0 1 24 12 4 8 14 3 5 6 1 649 18 -1 6841
"46" "1" 21 1 1 1 1 "LAEHRAMTTG" 9 0 "yosud" 0 -1 0 1 7 16 5 19 10 5 5 5 0 529 22 -1 3536
"47" "1" 21 1 1 1 1 "LAEHRAMTTG" 9 1 "yosud" 0 -1 0 1 7 16 5 19 10 5 5 5 0 845 9 -1 5943
"48" "1" 21 1 1 1 1 "LAEHRAMTTG" 9 2 "yosud" 0 -1 0 1 7 16 5 19 10 5 5 5 0 1217 17 -1 2247
"49" "1" 21 1 1 1 1 "LAEHRAMTTG" 9 3 "yosud" 0 -1 0 1 7 16 5 19 10 5 5 5 1 2193 8 -1 2304
"50" "1" 21 1 1 1 1 "LAEHRAMTTG" 9 4 "yosud" 0 -1 0 1 7 16 5 19 10 5 5 5 0 2546 12 -1 1624
"51" "1" 21 1 1 1 1 "LAEHRAMTTG" 10 0 "sleshen" 0 -1 0 1 7 21 5 18 16 5 6 5 1 1297 1 -1 1159
"52" "1" 21 1 1 1 1 "LAEHRAMTTG" 10 1 "sleshen" 0 -1 0 1 7 21 5 18 16 5 6 5 0 1040 3 -1 3487
"53" "1" 21 1 1 1 1 "LAEHRAMTTG" 10 2 "sleshen" 0 -1 0 1 7 21 5 18 16 5 6 5 1 1449 7 -1 1071
"54" "1" 21 1 1 1 1 "LAEHRAMTTG" 10 3 "sleshen" 0 -1 0 1 7 21 5 18 16 5 6 5 0 801 4 -1 4975
"55" "1" 21 1 1 1 1 "LAEHRAMTTG" 10 4 "sleshen" 0 -1 0 1 7 21 5 18 16 5 6 5 0 818 17 -1 2255
"56" "1" 21 1 1 1 1 "LAEHRAMTTG" 11 0 "medan" 0 -1 0 1 14 13 10 15 11 5 7 6 0 809 6 -1 2313
"57" "1" 21 1 1 1 1 "LAEHRAMTTG" 11 1 "medan" 0 -1 0 1 14 13 10 15 11 5 7 6 0 1978 18 -1 2335
"58" "1" 21 1 1 1 1 "LAEHRAMTTG" 11 2 "medan" 0 -1 0 1 14 13 10 15 11 5 7 6 1 1417 11 -1 3855
"59" "1" 21 1 1 1 1 "LAEHRAMTTG" 11 3 "medan" 0 -1 0 1 14 13 10 15 11 5 7 6 0 618 10 -1 2352
"60" "1" 21 1 1 1 1 "LAEHRAMTTG" 11 4 "medan" 0 -1 0 1 14 13 10 15 11 5 7 6 0 921 9 -1 1951
"61" "1" 21 1 1 1 1 "LAEHRAMTTG" 12 0 "molkate" 0 -1 1 0 22 13 20 17 5 2 2 4 1 745 12 -1 735
"62" "1" 21 1 1 1 1 "LAEHRAMTTG" 12 1 "molkate" 0 -1 1 0 22 13 20 17 5 2 2 4 1 705 12 -1 895
"63" "1" 21 1 1 1 1 "LAEHRAMTTG" 12 2 "molkate" 0 -1 1 0 22 13 20 17 5 2 2 4 0 1170 12 -1 855
"64" "1" 21 1 1 1 1 "LAEHRAMTTG" 12 3 "molkate" 0 -1 1 0 22 13 20 17 5 2 2 4 0 1241 12 -1 942
"65" "1" 21 1 1 1 1 "LAEHRAMTTG" 12 4 "molkate" 0 -1 1 0 22 13 20 17 5 2 2 4 1 688 12 -1 888
"66" "1" 21 1 1 1 1 "LAEHRAMTTG" 13 0 "permife" 0 -1 1 0 24 1 10 23 4 6 4 7 0 594 13 -1 911
"67" "1" 21 1 1 1 1 "LAEHRAMTTG" 13 1 "permife" 0 -1 1 0 24 1 10 23 4 6 4 7 0 674 13 -1 1631
"68" "1" 21 1 1 1 1 "LAEHRAMTTG" 13 2 "permife" 0 -1 1 0 24 1 10 23 4 6 4 7 1 1049 13 -1 1087
"69" "1" 21 1 1 1 1 "LAEHRAMTTG" 13 3 "permife" 0 -1 1 0 24 1 10 23 4 6 4 7 1 776 13 -1 832
"70" "1" 21 1 1 1 1 "LAEHRAMTTG" 13 4 "permife" 0 -1 1 0 24 1 10 23 4 6 4 7 1 785 13 -1 632
"71" "1" 21 1 1 1 1 "LAEHRAMTTG" 14 0 "umeuken" 0 -1 1 0 16 15 3 12 7 7 8 6 0 800 14 -1 487
"72" "1" 21 1 1 1 1 "LAEHRAMTTG" 14 1 "umeuken" 0 -1 1 0 16 15 3 12 7 7 8 6 0 1202 14 -1 536
"73" "1" 21 1 1 1 1 "LAEHRAMTTG" 14 2 "umeuken" 0 -1 1 0 16 15 3 12 7 7 8 6 0 753 14 -1 511
"74" "1" 21 1 1 1 1 "LAEHRAMTTG" 14 3 "umeuken" 0 -1 1 0 16 15 3 12 7 7 8 6 0 665 14 -1 1008
"75" "1" 21 1 1 1 1 "LAEHRAMTTG" 14 4 "umeuken" 0 -1 1 0 16 15 3 12 7 7 8 6 0 1297 14 -1 814
"76" "1" 21 1 1 1 1 "LAEHRAMTTG" 15 0 "frask" 0 -1 1 0 2 18 11 9 21 5 5 4 0 824 15 -1 919
"77" "1" 21 1 1 1 1 "LAEHRAMTTG" 15 1 "frask" 0 -1 1 0 2 18 11 9 21 5 5 4 1 689 15 -1 735
"78" "1" 21 1 1 1 1 "LAEHRAMTTG" 15 2 "frask" 0 -1 1 0 2 18 11 9 21 5 5 4 0 641 15 -1 590
"79" "1" 21 1 1 1 1 "LAEHRAMTTG" 15 3 "frask" 0 -1 1 0 2 18 11 9 21 5 5 4 1 969 15 -1 600
"80" "1" 21 1 1 1 1 "LAEHRAMTTG" 15 4 "frask" 0 -1 1 0 2 18 11 9 21 5 5 4 1 1257 15 -1 575
"81" "1" 21 1 1 1 1 "LAEHRAMTTG" 16 0 "obacu" 0 -1 1 0 8 19 0 6 14 7 6 7 0 1577 16 -1 1430
"82" "1" 21 1 1 1 1 "LAEHRAMTTG" 16 1 "obacu" 0 -1 1 0 8 19 0 6 14 7 6 7 1 930 16 -1 984
"83" "1" 21 1 1 1 1 "LAEHRAMTTG" 16 2 "obacu" 0 -1 1 0 8 19 0 6 14 7 6 7 1 1050 16 -1 1359
"84" "1" 21 1 1 1 1 "LAEHRAMTTG" 16 3 "obacu" 0 -1 1 0 8 19 0 6 14 7 6 7 0 977 16 -1 2087
"85" "1" 21 1 1 1 1 "LAEHRAMTTG" 16 4 "obacu" 0 -1 1 0 8 19 0 6 14 7 6 7 1 680 16 -1 1159
"86" "1" 21 1 1 1 1 "LAEHRAMTTG" 17 0 "jaciyn" 0 -1 1 0 6 8 14 22 4 7 5 6 0 1090 17 -1 1008
"87" "1" 21 1 1 1 1 "LAEHRAMTTG" 17 1 "jaciyn" 0 -1 1 0 6 8 14 22 4 7 5 6 0 553 17 -1 695
"88" "1" 21 1 1 1 1 "LAEHRAMTTG" 17 2 "jaciyn" 0 -1 1 0 6 8 14 22 4 7 5 6 0 616 17 -1 1184
"89" "1" 21 1 1 1 1 "LAEHRAMTTG" 17 3 "jaciyn" 0 -1 1 0 6 8 14 22 4 7 5 6 1 634 17 -1 767
"90" "1" 21 1 1 1 1 "LAEHRAMTTG" 17 4 "jaciyn" 0 -1 1 0 6 8 14 22 4 7 5 6 0 809 17 -1 1175
"91" "1" 21 1 1 1 1 "LAEHRAMTTG" 18 0 "ubajec" 0 -1 1 1 2 18 16 13 11 4 3 3 1 737 0 -1 2790
"92" "1" 21 1 1 1 1 "LAEHRAMTTG" 18 1 "ubajec" 0 -1 1 1 2 18 16 13 11 4 3 3 1 698 10 -1 1494
"93" "1" 21 1 1 1 1 "LAEHRAMTTG" 18 2 "ubajec" 0 -1 1 1 2 18 16 13 11 4 3 3 1 1114 0 -1 2328
"94" "1" 21 1 1 1 1 "LAEHRAMTTG" 18 3 "ubajec" 0 -1 1 1 2 18 16 13 11 4 3 3 1 706 19 -1 1376
"95" "1" 21 1 1 1 1 "LAEHRAMTTG" 18 4 "ubajec" 0 -1 1 1 2 18 16 13 11 4 3 3 1 649 20 -1 2961
"96" "1" 21 1 1 1 1 "LAEHRAMTTG" 19 0 "larnist" 0 -1 1 1 9 3 0 19 10 3 5 4 1 809 3 -1 1216
"97" "1" 21 1 1 1 1 "LAEHRAMTTG" 19 1 "larnist" 0 -1 1 1 9 3 0 19 10 3 5 4 1 1393 16 -1 7663
"98" "1" 21 1 1 1 1 "LAEHRAMTTG" 19 2 "larnist" 0 -1 1 1 9 3 0 19 10 3 5 4 1 1033 21 -1 1184
"99" "1" 21 1 1 1 1 "LAEHRAMTTG" 19 3 "larnist" 0 -1 1 1 9 3 0 19 10 3 5 4 1 609 15 -1 1103
"100" "1" 21 1 1 1 1 "LAEHRAMTTG" 19 4 "larnist" 0 -1 1 1 9 3 0 19 10 3 5 4 1 450 7 -1 600
"101" "1" 21 1 1 1 1 "LAEHRAMTTG" 20 0 "furasti" 0 -1 1 1 15 17 24 1 23 3 5 4 1 841 18 -1 3873
"102" "1" 21 1 1 1 1 "LAEHRAMTTG" 20 1 "furasti" 0 -1 1 1 15 17 24 1 23 3 5 4 1 689 11 -1 1069
"103" "1" 21 1 1 1 1 "LAEHRAMTTG" 20 2 "furasti" 0 -1 1 1 15 17 24 1 23 3 5 4 1 3456 17 -1 2831
"104" "1" 21 1 1 1 1 "LAEHRAMTTG" 20 3 "furasti" 0 -1 1 1 15 17 24 1 23 3 5 4 1 713 22 -1 2238
"105" "1" 21 1 1 1 1 "LAEHRAMTTG" 20 4 "furasti" 0 -1 1 1 15 17 24 1 23 3 5 4 1 929 22 -1 1480
"106" "1" 21 1 1 1 1 "LAEHRAMTTG" 21 0 "nalber" 0 -1 1 1 5 21 12 7 20 5 4 7 1 633 23 -1 2264
"107" "1" 21 1 1 1 1 "LAEHRAMTTG" 21 1 "nalber" 0 -1 1 1 5 21 12 7 20 5 4 7 1 961 12 -1 3969
"108" "1" 21 1 1 1 1 "LAEHRAMTTG" 21 2 "nalber" 0 -1 1 1 5 21 12 7 20 5 4 7 1 666 21 -1 663
"109" "1" 21 1 1 1 1 "LAEHRAMTTG" 21 3 "nalber" 0 -1 1 1 5 21 12 7 20 5 4 7 1 1393 21 -1 1198
"110" "1" 21 1 1 1 1 "LAEHRAMTTG" 21 4 "nalber" 0 -1 1 1 5 21 12 7 20 5 4 7 0 7681 4 -1 1665
"111" "1" 21 1 1 1 1 "LAEHRAMTTG" 22 0 "noste" 0 -1 1 1 23 19 4 13 16 2 2 5 1 1042 23 -1 2537
"112" "1" 21 1 1 1 1 "LAEHRAMTTG" 22 1 "noste" 0 -1 1 1 23 19 4 13 16 2 2 5 1 689 22 -1 935
"113" "1" 21 1 1 1 1 "LAEHRAMTTG" 22 2 "noste" 0 -1 1 1 23 19 4 13 16 2 2 5 1 650 13 -1 6798
"114" "1" 21 1 1 1 1 "LAEHRAMTTG" 22 3 "noste" 0 -1 1 1 23 19 4 13 16 2 2 5 1 2401 4 -1 1608
"115" "1" 21 1 1 1 1 "LAEHRAMTTG" 22 4 "noste" 0 -1 1 1 23 19 4 13 16 2 2 5 1 505 7 -1 3472
"116" "1" 21 1 1 1 1 "LAEHRAMTTG" 23 0 "laumens" 0 -1 1 1 11 18 21 0 7 7 5 5 1 682 22 -1 1417
"117" "1" 21 1 1 1 1 "LAEHRAMTTG" 23 1 "laumens" 0 -1 1 1 11 18 21 0 7 7 5 5 1 809 19 -1 2304
"118" "1" 21 1 1 1 1 "LAEHRAMTTG" 23 2 "laumens" 0 -1 1 1 11 18 21 0 7 7 5 5 1 690 4 -1 1776
"119" "1" 21 1 1 1 1 "LAEHRAMTTG" 23 3 "laumens" 0 -1 1 1 11 18 21 0 7 7 5 5 1 624 16 -1 2280
"120" "1" 21 1 1 1 1 "LAEHRAMTTG" 23 4 "laumens" 0 -1 1 1 11 18 21 0 7 7 5 5 1 626 15 -1 1183
"121" "10" 24 2 1 1 1 "SOONDERPPAEDA" 0 0 "botsy" 0 -1 0 0 20 5 2 6 1 7 8 6 0 559 -1 -1 -1
"122" "10" 24 2 1 1 1 "SOONDERPPAEDA" 0 1 "botsy" 0 -1 0 0 20 5 2 6 1 7 8 6 1 655 -1 -1 -1
"123" "10" 24 2 1 1 1 "SOONDERPPAEDA" 0 2 "botsy" 0 -1 0 0 20 5 2 6 1 7 8 6 0 529 -1 -1 -1
"124" "10" 24 2 1 1 1 "SOONDERPPAEDA" 0 3 "botsy" 0 -1 0 0 20 5 2 6 1 7 8 6 1 1922 -1 -1 -1
"125" "10" 24 2 1 1 1 "SOONDERPPAEDA" 0 4 "botsy" 0 -1 0 0 20 5 2 6 1 7 8 6 1 1456 -1 -1 -1
"126" "10" 24 2 1 1 1 "SOONDERPPAEDA" 1 0 "kiwehon" 0 -1 0 0 10 19 17 15 23 2 1 1 1 654 -1 -1 -1
"127" "10" 24 2 1 1 1 "SOONDERPPAEDA" 1 1 "kiwehon" 0 -1 0 0 10 19 17 15 23 2 1 1 0 648 -1 -1 -1
"128" "10" 24 2 1 1 1 "SOONDERPPAEDA" 1 2 "kiwehon" 0 -1 0 0 10 19 17 15 23 2 1 1 0 812 -1 -1 -1
"129" "10" 24 2 1 1 1 "SOONDERPPAEDA" 1 3 "kiwehon" 0 -1 0 0 10 19 17 15 23 2 1 1 0 554 -1 -1 -1
"130" "10" 24 2 1 1 1 "SOONDERPPAEDA" 1 4 "kiwehon" 0 -1 0 0 10 19 17 15 23 2 1 1 0 1393 -1 -1 -1
"131" "10" 24 2 1 1 1 "SOONDERPPAEDA" 2 0 "schese" 0 -1 0 0 12 14 22 21 18 4 4 1 0 708 -1 -1 -1
"132" "10" 24 2 1 1 1 "SOONDERPPAEDA" 2 1 "schese" 0 -1 0 0 12 14 22 21 18 4 4 1 1 1610 -1 -1 -1
"133" "10" 24 2 1 1 1 "SOONDERPPAEDA" 2 2 "schese" 0 -1 0 0 12 14 22 21 18 4 4 1 0 526 -1 -1 -1
"134" "10" 24 2 1 1 1 "SOONDERPPAEDA" 2 3 "schese" 0 -1 0 0 12 14 22 21 18 4 4 1 0 535 -1 -1 -1
"135" "10" 24 2 1 1 1 "SOONDERPPAEDA" 2 4 "schese" 0 -1 0 0 12 14 22 21 18 4 4 1 0 475 -1 -1 -1
"136" "10" 24 2 1 1 1 "SOONDERPPAEDA" 3 0 "larnist" 0 -1 0 0 9 13 4 11 3 3 3 1 0 396 -1 -1 -1
"137" "10" 24 2 1 1 1 "SOONDERPPAEDA" 3 1 "larnist" 0 -1 0 0 9 13 4 11 3 3 3 1 1 700 -1 -1 -1
"138" "10" 24 2 1 1 1 "SOONDERPPAEDA" 3 2 "larnist" 0 -1 0 0 9 13 4 11 3 3 3 1 0 699 -1 -1 -1
"139" "10" 24 2 1 1 1 "SOONDERPPAEDA" 3 3 "larnist" 0 -1 0 0 9 13 4 11 3 3 3 1 0 839 -1 -1 -1
"140" "10" 24 2 1 1 1 "SOONDERPPAEDA" 3 4 "larnist" 0 -1 0 0 9 13 4 11 3 3 3 1 1 919 -1 -1 -1
"141" "10" 24 2 1 1 1 "SOONDERPPAEDA" 4 0 "permife" 0 -1 0 0 16 0 24 7 8 3 2 3 0 1148 -1 -1 -1
"142" "10" 24 2 1 1 1 "SOONDERPPAEDA" 4 1 "permife" 0 -1 0 0 16 0 24 7 8 3 2 3 0 811 -1 -1 -1
"143" "10" 24 2 1 1 1 "SOONDERPPAEDA" 4 2 "permife" 0 -1 0 0 16 0 24 7 8 3 2 3 0 701 -1 -1 -1
"144" "10" 24 2 1 1 1 "SOONDERPPAEDA" 4 3 "permife" 0 -1 0 0 16 0 24 7 8 3 2 3 1 1305 -1 -1 -1
"145" "10" 24 2 1 1 1 "SOONDERPPAEDA" 4 4 "permife" 0 -1 0 0 16 0 24 7 8 3 2 3 1 513 -1 -1 -1
"146" "10" 24 2 1 1 1 "SOONDERPPAEDA" 5 0 "sleshen" 0 -1 0 0 11 21 7 22 4 7 6 7 0 1022 -1 -1 -1
"147" "10" 24 2 1 1 1 "SOONDERPPAEDA" 5 1 "sleshen" 0 -1 0 0 11 21 7 22 4 7 6 7 0 543 -1 -1 -1
"148" "10" 24 2 1 1 1 "SOONDERPPAEDA" 5 2 "sleshen" 0 -1 0 0 11 21 7 22 4 7 6 7 0 683 -1 -1 -1
"149" "10" 24 2 1 1 1 "SOONDERPPAEDA" 5 3 "sleshen" 0 -1 0 0 11 21 7 22 4 7 6 7 0 1090 -1 -1 -1
"150" "10" 24 2 1 1 1 "SOONDERPPAEDA" 5 4 "sleshen" 0 -1 0 0 11 21 7 22 4 7 6 7 1 438 -1 -1 -1
"151" "10" 24 2 1 1 1 "SOONDERPPAEDA" 6 0 "hiwawa" 0 -1 0 1 3 13 0 23 14 6 6 6 1 735 -1 -1 -1
"152" "10" 24 2 1 1 1 "SOONDERPPAEDA" 6 1 "hiwawa" 0 -1 0 1 3 13 0 23 14 6 6 6 1 912 -1 -1 -1
"153" "10" 24 2 1 1 1 "SOONDERPPAEDA" 6 2 "hiwawa" 0 -1 0 1 3 13 0 23 14 6 6 6 1 600 -1 -1 -1
"154" "10" 24 2 1 1 1 "SOONDERPPAEDA" 6 3 "hiwawa" 0 -1 0 1 3 13 0 23 14 6 6 6 1 27115 -1 -1 -1
"155" "10" 24 2 1 1 1 "SOONDERPPAEDA" 6 4 "hiwawa" 0 -1 0 1 3 13 0 23 14 6 6 6 1 988 -1 -1 -1
"156" "10" 24 2 1 1 1 "SOONDERPPAEDA" 7 0 "furasti" 0 -1 0 1 8 9 17 15 2 3 3 1 1 639 -1 -1 -1
"157" "10" 24 2 1 1 1 "SOONDERPPAEDA" 7 1 "furasti" 0 -1 0 1 8 9 17 15 2 3 3 1 1 814 -1 -1 -1
"158" "10" 24 2 1 1 1 "SOONDERPPAEDA" 7 2 "furasti" 0 -1 0 1 8 9 17 15 2 3 3 1 1 663 -1 -1 -1
"159" "10" 24 2 1 1 1 "SOONDERPPAEDA" 7 3 "furasti" 0 -1 0 1 8 9 17 15 2 3 3 1 1 812 -1 -1 -1
"160" "10" 24 2 1 1 1 "SOONDERPPAEDA" 7 4 "furasti" 0 -1 0 1 8 9 17 15 2 3 3 1 1 695 -1 -1 -1
"161" "10" 24 2 1 1 1 "SOONDERPPAEDA" 8 0 "ubajec" 0 -1 0 1 1 12 20 19 5 2 3 1 1 739 -1 -1 -1
"162" "10" 24 2 1 1 1 "SOONDERPPAEDA" 8 1 "ubajec" 0 -1 0 1 1 12 20 19 5 2 3 1 1 1012 -1 -1 -1
"163" "10" 24 2 1 1 1 "SOONDERPPAEDA" 8 2 "ubajec" 0 -1 0 1 1 12 20 19 5 2 3 1 1 683 -1 -1 -1
"164" "10" 24 2 1 1 1 "SOONDERPPAEDA" 8 3 "ubajec" 0 -1 0 1 1 12 20 19 5 2 3 1 1 563 -1 -1 -1
"165" "10" 24 2 1 1 1 "SOONDERPPAEDA" 8 4 "ubajec" 0 -1 0 1 1 12 20 19 5 2 3 1 1 1043 -1 -1 -1
"166" "10" 24 2 1 1 1 "SOONDERPPAEDA" 9 0 "laumens" 0 -1 0 1 10 16 6 24 18 6 6 6 1 704 -1 -1 -1
"167" "10" 24 2 1 1 1 "SOONDERPPAEDA" 9 1 "laumens" 0 -1 0 1 10 16 6 24 18 6 6 6 1 634 -1 -1 -1
"168" "10" 24 2 1 1 1 "SOONDERPPAEDA" 9 2 "laumens" 0 -1 0 1 10 16 6 24 18 6 6 6 1 726 -1 -1 -1
"169" "10" 24 2 1 1 1 "SOONDERPPAEDA" 9 3 "laumens" 0 -1 0 1 10 16 6 24 18 6 6 6 1 920 -1 -1 -1
"170" "10" 24 2 1 1 1 "SOONDERPPAEDA" 9 4 "laumens" 0 -1 0 1 10 16 6 24 18 6 6 6 1 7764 -1 -1 -1
"171" "10" 24 2 1 1 1 "SOONDERPPAEDA" 10 0 "jaciyn" 0 -1 0 1 3 23 4 14 17 3 2 2 1 626 -1 -1 -1
"172" "10" 24 2 1 1 1 "SOONDERPPAEDA" 10 1 "jaciyn" 0 -1 0 1 3 23 4 14 17 3 2 2 1 3758 -1 -1 -1
"173" "10" 24 2 1 1 1 "SOONDERPPAEDA" 10 2 "jaciyn" 0 -1 0 1 3 23 4 14 17 3 2 2 1 603 -1 -1 -1
"174" "10" 24 2 1 1 1 "SOONDERPPAEDA" 10 3 "jaciyn" 0 -1 0 1 3 23 4 14 17 3 2 2 1 483 -1 -1 -1
"175" "10" 24 2 1 1 1 "SOONDERPPAEDA" 10 4 "jaciyn" 0 -1 0 1 3 23 4 14 17 3 2 2 1 602 -1 -1 -1
