"vpnr" "alter" "sex" "hand" "fach" "sprache" "color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "valenz_response" "valenz_rt" "sichtbar_response" "sichtbar_korrekt" "sichtbar_rt"
"1" "1" 21 1 1 1 1 "LAEHRAMTTG" 0 0 "hilejin" 0 -1 0 0 23 16 15 21 12 3 4 4 1 1320 0 -1 887
"2" "1" 21 1 1 1 1 "LAEHRAMTTG" 0 1 "hilejin" 0 -1 0 0 23 16 15 21 12 3 4 4 1 913 0 -1 768
"3" "1" 21 1 1 1 1 "LAEHRAMTTG" 0 2 "hilejin" 0 -1 0 0 23 16 15 21 12 3 4 4 1 546 0 -1 814
"4" "1" 21 1 1 1 1 "LAEHRAMTTG" 0 3 "hilejin" 0 -1 0 0 23 16 15 21 12 3 4 4 1 544 0 -1 1361
"5" "1" 21 1 1 1 1 "LAEHRAMTTG" 0 4 "hilejin" 0 -1 0 0 23 16 15 21 12 3 4 4 1 1449 0 -1 910
"6" "1" 21 1 1 1 1 "LAEHRAMTTG" 1 0 "botuyn" 0 -1 0 0 19 9 20 18 3 4 5 6 0 1880 1 -1 868
"7" "1" 21 1 1 1 1 "LAEHRAMTTG" 1 1 "botuyn" 0 -1 0 0 19 9 20 18 3 4 5 6 1 753 1 -1 807
"8" "1" 21 1 1 1 1 "LAEHRAMTTG" 1 2 "botuyn" 0 -1 0 0 19 9 20 18 3 4 5 6 1 994 1 -1 791
"9" "1" 21 1 1 1 1 "LAEHRAMTTG" 1 3 "botuyn" 0 -1 0 0 19 9 20 18 3 4 5 6 1 785 1 -1 648
"10" "1" 21 1 1 1 1 "LAEHRAMTTG" 1 4 "botuyn" 0 -1 0 0 19 9 20 18 3 4 5 6 1 1913 1 -1 1144
"11" "1" 21 1 1 1 1 "LAEHRAMTTG" 2 0 "schese" 0 -1 0 0 13 10 2 4 22 1 3 2 1 673 2 -1 687
