"vpnr" "alter" "sex" "hand" "color" "sprache" "fach" "blocknr" "csnr" "sb_optionen0" "wort" "material" "istwort" "uspositiv" "csduration" "q1_response" "q1_rt" "q2_response" "q2_rt" "bewert_response" "bewert_rt" "us" "sb_korrekt_response" "sb_response" "sb_korrekt" "sb_rt" "muell"
"1" "1" 24 2 1 1 1 "PSYCHOLOGIE" 0 0 0 "virlog" 1 1 0 0 2 480 19 1055 99 -1 18 0 2 0 2295 7
"2" "1" 24 2 1 1 1 "PSYCHOLOGIE" 1 0 0 "virlog" 1 1 0 0 2 480 19 1055 99 -1 3 0 8 0 839 7
"3" "1" 24 2 1 1 1 "PSYCHOLOGIE" 2 0 0 "virlog" 1 1 0 0 2 480 19 1055 99 -1 4 0 2 0 1335 7
"4" "1" 24 2 1 1 1 "PSYCHOLOGIE" 3 0 0 "virlog" 1 1 0 0 2 480 19 1055 99 -1 12 0 8 0 1576 7
"5" "1" 24 2 1 1 1 "PSYCHOLOGIE" 0 1 1 "kibono" 1 1 0 0 1 1200 21 1767 90 -1 0 1 1 1 2343 7
"6" "1" 24 2 1 1 1 "PSYCHOLOGIE" 1 1 1 "kibono" 1 1 0 0 1 1200 21 1767 90 -1 14 1 3 0 1630 7
"7" "1" 24 2 1 1 1 "PSYCHOLOGIE" 2 1 1 "kibono" 1 1 0 0 1 1200 21 1767 90 -1 22 1 1 1 4112 7
"8" "1" 24 2 1 1 1 "PSYCHOLOGIE" 3 1 1 "kibono" 1 1 0 0 1 1200 21 1767 90 -1 9 1 15 0 569 7
"9" "1" 24 2 1 1 1 "PSYCHOLOGIE" 0 2 2 "ompfing" 1 1 0 0 1 1024 12 1143 94 -1 16 2 9 0 1968 7
"10" "1" 24 2 1 1 1 "PSYCHOLOGIE" 1 2 2 "ompfing" 1 1 0 0 1 1024 12 1143 94 -1 21 2 6 0 929 7
"11" "1" 24 2 1 1 1 "PSYCHOLOGIE" 2 2 2 "ompfing" 1 1 0 0 1 1024 12 1143 94 -1 23 2 19 0 1201 7
"12" "1" 24 2 1 1 1 "PSYCHOLOGIE" 3 2 2 "ompfing" 1 1 0 0 1 1024 12 1143 94 -1 0 2 21 0 1248 7
"13" "1" 24 2 1 1 1 "PSYCHOLOGIE" 0 3 3 "polust" 1 1 0 0 2 695 1 543 91 -1 12 3 15 0 1352 7
"14" "1" 24 2 1 1 1 "PSYCHOLOGIE" 1 3 3 "polust" 1 1 0 0 2 695 1 543 91 -1 7 3 16 0 992 7
"15" "1" 24 2 1 1 1 "PSYCHOLOGIE" 2 3 3 "polust" 1 1 0 0 2 695 1 543 91 -1 13 3 1 0 1024 7
"16" "1" 24 2 1 1 1 "PSYCHOLOGIE" 3 3 3 "polust" 1 1 0 0 2 695 1 543 91 -1 21 3 12 0 1072 7
"17" "1" 24 2 1 1 1 "PSYCHOLOGIE" 0 4 4 "trupfan" 1 1 0 1 1 736 20 1182 94 -1 14 4 2 0 1536 7
"18" "1" 24 2 1 1 1 "PSYCHOLOGIE" 1 4 4 "trupfan" 1 1 0 1 1 736 20 1182 94 -1 23 4 4 1 1081 7
"19" "1" 24 2 1 1 1 "PSYCHOLOGIE" 2 4 4 "trupfan" 1 1 0 1 1 736 20 1182 94 -1 18 4 4 1 2855 7
"20" "1" 24 2 1 1 1 "PSYCHOLOGIE" 3 4 4 "trupfan" 1 1 0 1 1 736 20 1182 94 -1 3 4 4 1 3560 7
"21" "1" 24 2 1 1 1 "PSYCHOLOGIE" 0 5 5 "banzon" 1 1 0 1 1 512 2 703 93 -1 22 5 5 1 3608 7
"22" "1" 24 2 1 1 1 "PSYCHOLOGIE" 1 5 5 "banzon" 1 1 0 1 1 512 2 703 93 -1 5 5 5 1 3832 7
"23" "1" 24 2 1 1 1 "PSYCHOLOGIE" 2 5 5 "banzon" 1 1 0 1 1 512 2 703 93 -1 14 5 12 0 664 7
"24" "1" 24 2 1 1 1 "PSYCHOLOGIE" 3 5 5 "banzon" 1 1 0 1 1 512 2 703 93 -1 22 5 5 1 1072 7
