"color" "cs" "rep" "wort" "istwort" "istpositiv" "uspositiv" "istmaskiert" "us0" "us1" "us2" "us3" "us4" "liking0" "liking1" "liking2" "sichtbar_response" "sichtbar_rt" "vpnr"
"1" 0 0 0 "medan" 0 -1 0 0 19 6 8 5 22 2 2 2 45 1290 "002"
"2" 0 0 1 "medan" 0 -1 0 0 19 6 8 5 22 2 2 2 45 625 "002"
"3" 0 0 2 "medan" 0 -1 0 0 19 6 8 5 22 2 2 2 45 835 "002"
"4" 0 0 3 "medan" 0 -1 0 0 19 6 8 5 22 2 2 2 45 572 "002"
"5" 0 0 4 "medan" 0 -1 0 0 19 6 8 5 22 2 2 2 36 707 "002"
"6" 0 1 0 "sleshen" 0 -1 0 0 15 10 7 12 2 2 2 2 47 13380 "002"
"7" 0 1 1 "sleshen" 0 -1 0 0 15 10 7 12 2 2 2 2 6 1068 "002"
"8" 0 1 2 "sleshen" 0 -1 0 0 15 10 7 12 2 2 2 2 41 650 "002"
"9" 0 1 3 "sleshen" 0 -1 0 0 15 10 7 12 2 2 2 2 1 2603 "002"
"10" 0 1 4 "sleshen" 0 -1 0 0 15 10 7 12 2 2 2 2 36 1243 "002"
"11" 0 2 0 "schese" 0 -1 0 0 9 21 1 18 0 2 2 2 45 4626 "002"
"12" 0 2 1 "schese" 0 -1 0 0 9 21 1 18 0 2 2 2 0 922 "002"
"13" 0 2 2 "schese" 0 -1 0 0 9 21 1 18 0 2 2 2 37 873 "002"
"14" 0 2 3 "schese" 0 -1 0 0 9 21 1 18 0 2 2 2 36 537 "002"
"15" 0 2 4 "schese" 0 -1 0 0 9 21 1 18 0 2 2 2 36 555 "002"
"16" 0 3 0 "kiwehon" 0 -1 0 0 20 13 3 23 14 2 2 2 45 419 "002"
"17" 0 3 1 "kiwehon" 0 -1 0 0 20 13 3 23 14 2 2 2 45 498 "002"
"18" 0 3 2 "kiwehon" 0 -1 0 0 20 13 3 23 14 2 2 2 37 963 "002"
"19" 0 3 3 "kiwehon" 0 -1 0 0 20 13 3 23 14 2 2 2 45 491 "002"
"20" 0 3 4 "kiwehon" 0 -1 0 0 20 13 3 23 14 2 2 2 36 515 "002"
"21" 0 4 0 "jaciyn" 0 -1 0 0 4 17 16 24 11 2 2 2 25 10887 "002"
"22" 0 4 1 "jaciyn" 0 -1 0 0 4 17 16 24 11 2 2 2 36 610 "002"
"23" 0 4 2 "jaciyn" 0 -1 0 0 4 17 16 24 11 2 2 2 36 561 "002"
"24" 0 4 3 "jaciyn" 0 -1 0 0 4 17 16 24 11 2 2 2 36 1180 "002"
"25" 0 4 4 "jaciyn" 0 -1 0 0 4 17 16 24 11 2 2 2 36 1091 "002"
"26" 0 5 0 "yosud" 0 -1 0 0 15 3 19 10 2 2 2 2 27 2626 "002"
"27" 0 5 1 "yosud" 0 -1 0 0 15 3 19 10 2 2 2 2 47 847 "002"
"28" 0 5 2 "yosud" 0 -1 0 0 15 3 19 10 2 2 2 2 23 1075 "002"
"29" 0 5 3 "yosud" 0 -1 0 0 15 3 19 10 2 2 2 2 10 666 "002"
"30" 0 5 4 "yosud" 0 -1 0 0 15 3 19 10 2 2 2 2 36 587 "002"
"31" 0 6 0 "permife" 0 -1 0 1 7 14 12 11 1 2 2 2 37 10673 "002"
"32" 0 6 1 "permife" 0 -1 0 1 7 14 12 11 1 2 2 2 37 1135 "002"
"33" 0 6 2 "permife" 0 -1 0 1 7 14 12 11 1 2 2 2 45 454 "002"
"34" 0 6 3 "permife" 0 -1 0 1 7 14 12 11 1 2 2 2 36 807 "002"
"35" 0 6 4 "permife" 0 -1 0 1 7 14 12 11 1 2 2 2 36 535 "002"
"36" 0 7 0 "molkate" 0 -1 0 1 16 24 8 9 17 2 2 2 45 2360 "002"
"37" 0 7 1 "molkate" 0 -1 0 1 16 24 8 9 17 2 2 2 34 703 "002"
"38" 0 7 2 "molkate" 0 -1 0 1 16 24 8 9 17 2 2 2 36 534 "002"
"39" 0 7 3 "molkate" 0 -1 0 1 16 24 8 9 17 2 2 2 37 1128 "002"
"40" 0 7 4 "molkate" 0 -1 0 1 16 24 8 9 17 2 2 2 36 447 "002"
"41" 0 8 0 "umeuken" 0 -1 0 1 22 4 13 23 21 2 2 2 45 8880 "002"
"42" 0 8 1 "umeuken" 0 -1 0 1 22 4 13 23 21 2 2 2 36 655 "002"
